ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism
18,1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,1
11,0,11,4,4,289,36,13,33,268.519,93,1,1,2,1,0,1,90,172,30,0
13,10,10,5,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,1
15,28,8,5,1,291,31,12,40,249.797,93,0,1,1,1,0,1,73,171,25,1
28,23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,0
25,25,2,2,2,235,16,8,32,264.249,97,0,3,0,0,0,0,75,178,25,1
11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1
3,27,3,6,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,1
5,13,12,3,2,235,20,13,43,236.629,93,0,1,1,1,0,0,106,167,38,1
15,13,6,2,3,291,31,12,40,253.957,95,0,1,1,1,0,1,73,171,25,1
11,22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,1
34,28,8,3,1,118,10,10,37,249.797,93,0,1,0,0,0,0,83,172,28,1
10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,1
3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0
28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,1
36,23,4,5,3,118,13,18,50,326.452,96,0,1,1,1,0,0,98,178,31,0
24,28,8,3,1,246,25,16,41,249.797,93,0,1,0,1,0,0,67,170,23,1
31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,1
11,26,10,2,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,1
36,23,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,0
27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,0
24,28,7,3,1,246,25,16,41,230.29,92,0,1,0,1,0,0,67,170,23,0
12,19,2,2,2,233,51,1,31,264.249,97,0,2,1,1,0,8,68,178,21,0
17,16,5,6,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,0
34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,1
28,23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,0
22,27,6,4,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,1
28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,1
24,10,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,1
36,13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,1
3,28,12,5,4,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0
28,23,11,3,4,225,26,9,28,268.519,93,0,1,1,0,0,2,69,169,24,0
34,26,7,6,1,118,10,10,37,230.29,92,0,1,0,0,0,0,83,172,28,1
11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1
33,28,4,6,3,248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32,1
14,28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,0
33,0,10,6,4,248,25,14,47,265.017,88,1,1,2,0,0,1,86,165,32,0
14,11,11,2,4,155,12,14,34,284.031,97,0,1,2,1,0,0,95,196,25,1
22,1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,1
34,27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,0
3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,1
29,0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0
11,22,3,6,3,289,36,13,33,244.387,98,0,1,2,1,0,1,90,172,30,1
3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0
15,23,10,6,4,291,31,12,40,284.853,91,0,1,1,1,0,1,73,171,25,0
36,13,4,4,3,118,13,18,50,239.409,98,0,1,1,1,0,0,98,178,31,1
20,28,6,6,3,260,50,11,36,253.957,95,0,1,4,1,0,0,65,168,23,1
36,28,10,3,4,118,13,18,50,265.017,88,0,1,1,1,0,0,98,178,31,0
3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,1
25,25,2,6,2,235,16,8,32,264.249,97,0,3,0,0,0,0,75,178,25,0
28,23,12,4,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,1
6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,1
25,1,11,6,4,235,16,8,32,268.519,93,0,3,0,0,0,0,75,178,25,1
14,28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,0
34,18,3,3,2,118,10,10,37,244.387,98,0,1,0,0,0,0,83,172,28,1
15,28,6,5,3,291,31,12,40,275.089,96,0,1,1,1,0,1,73,171,25,0
17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,1
20,23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,1
34,11,11,4,4,118,10,10,37,284.031,97,0,1,0,0,0,0,83,172,28,1
17,8,5,2,3,179,22,17,40,246.074,99,0,2,2,0,1,0,63,170,22,1
3,23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,0
24,28,3,3,3,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,0
15,23,6,5,3,291,31,12,40,377.55,94,0,1,1,1,0,1,73,171,25,1
34,7,10,2,4,118,10,10,37,265.017,88,0,1,0,0,0,0,83,172,28,1
3,27,2,2,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,1
33,14,3,6,3,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,1
15,28,9,5,1,291,31,12,40,261.756,87,0,1,1,1,0,1,73,171,25,0
22,27,1,4,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,0
3,28,4,2,3,179,51,18,38,239.409,98,0,1,0,1,0,0,89,170,31,1
14,23,1,2,2,155,12,14,34,330.061,100,0,1,2,1,0,0,95,196,25,0
17,22,3,3,2,179,22,17,40,244.387,98,0,2,2,0,1,0,63,170,22,1
